name,address,province,Longitude,Latitude,congregation,risk_1,risk_2,risk_3,preparedness,emergencyResPlan,warningSystem,permanentBuilding,nonPermanentBuilding,doorWindow,buildingCode,constructionDoc,earthquakeResistant,buildingEarthquakeImpact,facilityEarthquakeImpact,faciltyEndanger,evacuationPath,evacuationPathVulnerable,evacuationOfficer,emergencyCommission,competent,evacuationSimulation,preparednessTools,facingDisasterProg,handlingSkill,dataRoutine,disasterResponseSOP,specialBudget,raiseFunds,emergencyResponse,interactionGuide,provideTraining,economicDev,churchEducation,riskReduction,disasterOccurs,trainingNeeds,increaseCapacity,lastUpdate,Gempa,Banjir,Kekeringan,Tsunami,Cuaca Ekstrim,Gelombang Ekstrim dan Abrasi,Kebakaran Hutan dan Lahan,Letusan Gunung Berapi,Tanah Longsor,Multi Bahaya,Likuefaksi,Terorisme,Konflik
Gereja Kibaid Jemaat Palu,Jln. Gereja No 13,Sulawesi Tengah,-0.90895,119.8854,211,Epidemi dan wabah penyakit (covid),Gempa Bumi,Konflik Sosial,Punya dan berfungsi,Punya dan berfungsi,Tidak punya,"Gedung gereja masih dalam tahap pembangunan, sehingga gedung gereja sementara dari kayu dan tripleks",Ya,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji","Tahan gempa karena sudah diuji oleh konsultan, dan gedung gereja yang dibangun memiliki struktur tahan gempa. Seperti dari rangka beton dan pondasi cakar ayam",Tidak terdampak,Tidak,"Punya, tetapi tidak diperbarui","Punya, tetapi tidak diperbarui",Tidak punya,Tidak punya,"BPBD/BNPB, SAR, PMI",Tidak,"Alat pengeras suara, Genset, Tenda, peralatan dapur untuk dapur umum, tempat cuci tangan",Tidak,"Dana insidental kebencanaan , Dana kebencanaan rutin ","Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan pekerjaan/kegiatan usaha jemaat",Tidak,Ya,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),Tidak,Ya,Belum pernah,Bantuan modal,"Ibadah minggu, Sekolah Minggu","Khotbah, Infokus (slide berjalan), live streaming, warta jemaat",Siap,"Simulasi menghadapi bencana, Sosialisasi dan pemahaman dalam menghadapi bencana, contohnya jika terjadi gempa jemaat tidak terlalu panik dan tahu apa yang harus dilakukan",Sosialisasi dan pemahaman dalam menghadapi bencana,23 April 2021,Red,Green,Green,Green,Orange,Green,Green,Green,Green,Red,Green,Orange,Orange
Gereja Dome of Bethany Jemaat Palu,Jl. Sulawesi no 391 kota palu,Sulawesi Tengah,-0.90016,119.8708,1200,Gempa Bumi,Terorisme,Konflik sosial,Tidak punya,"Punya, tetapi tidak aktif/tidak berfungsi",Tidak punya,Ya,,"Hanya pintu yang terbuka keluar, jendela permanent ",Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Retak ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,Tidak punya,Tidak punya,Tidak punya,Tidak punya,"BPBD/BNPB, SAR, PMI",Tidak,"Kotak P3K, Safety Box berisi dokumen penting, Genset",Tidak,"Dana insidental kebencanaan, Tenaga kesehatan , Livelihood, Tenaga/Pelayan Pastoral","Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan golongan darah, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat",Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Tidak,Tidak ada,Tidak ada,Tidak ada,"Khotbah, Video, Poster, Siaran radio, Broadcast message WhatsApp Group",Siap,"Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Terorisme",Tidak ada,23 April 2021,Red,Green,Green,Green,Orange,Green,Green,Green,Green,Red,Orange,Orange,Orange
GKST Musafir Palu,Jalan Towua Lorong Sintuwu 2,Sulawesi Tengah,-0.92914,119.8801,256,Gempa Bumi,Wabah Penyakit/Covid19,Terorisme,"Punya, tetapi tidak aktif/tidak berfungsi","Punya, tetapi tidak aktif/tidak berfungsi",Tidak punya,Semi permanen,Tidak,Pintu utama tidak dan pintu samping dan jendela iya,Tidak,Punya dan tersimpan dengan baik (mudah diakses),Tidak,Retak ringan,Terdampak tetapi masih ada pada tempatnya,Ya,"Punya, sudah diperbarui","Punya, sudah diperbarui","Punya, aktif dan selalu meningkatkan kapasitas","Punya, aktif dan selalu meningkatkan kapasitas","BPBD/BNPB, SAR, LSM/NGO Kebencanaan, PMI, Kelompok masyarakat peduli bencana","Ya, 1-2 tahun","Helm, Lampu senter, Lampu darurat, Kotak P3K, Peralatan balut bidai, Alat pengeras suara, Genset",Tidak,"Dana insidental kebencanaan , Tim penanganan bencana yang terlatih, Tenaga kesehatan , Tenaga/Pelayan Pastoral","Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan penyintas COVID-19, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat","Gempa bumi, kebakaran, wabah penyakit/covid19",Tidak,Insidental (penggalangan dana/persembahan bencana),"Wabah penyakit, Terorisme, gempa bumi",Tidak,LSM/NGO,Tidak ada,"Ibadah minggu, Pendalaman Alkitab, Sekolah Minggu","Khotbah, Poster, Broadcast message WhatsApp Group",Siap,"Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Interaksi dan konflik sosial, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme",Jika ada pelatihan gereja tangguh bencana diharapkan dilaksanakan secara sistematis dan berkesinambungan serta sesuai dengan kondisi masing-masing gereja,23 April 2021,Red,Yellow,Green,Green,Orange,Green,Green,Green,Green,Red,Green,Orange,Orange
Bala Keselamatan Korps Towua,Jl. Towua No. 80,Sulawesi Tengah,-0.94799,119.8418,420,Gempa Bumi,Angin puting beliung,Covid19,"Punya, tetapi tidak aktif/tidak berfungsi",Tidak punya,Tidak punya,Ya,Tidak,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Retak ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,"Punya, tetapi tidak diperbarui","Punya, tetapi tidak diperbarui",Tidak punya,Tidak punya,"BPBD/BNPB, SAR, LSM/NGO Kebencanaan","Ya, > 2 tahun",Genset,Tidak,"Tenaga kesehatan , Tenaga/Pelayan Pastoral","Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan penyintas COVID-19",Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Ya,"TNI/POLRI, BNPB/BPBD",Keterampilan,"Ibadah minggu, Sekolah Minggu","Khotbah, Poster",Sedikit siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme",Simulasi kebencanaan dan pelatihan pendampingan kebencanaan,23 April 2021,Red,Yellow,Green,Green,Orange,Green,Green,Green,Green,Red,Green,Orange,Orange
Huria Kristen Batak Protestan (HKBP) Resort Palu,Jl. Gereja No. 36 Tanjung Manimbaya,Sulawesi Tengah,-0.9109,119.8849,360,Gempa Bumi ,"Wabah penyakit, Covid19",Konflik antar kelompok/antar komunitas masyarakat,Punya dan berfungsi,Punya dan berfungsi,Tidak punya,Ya,Tidak ada bangunan non permanen,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Ada struktur tulangan yang lepas,Terdampak tetapi masih ada pada tempatnya,Tidak,Tidak punya,Tidak punya,"Punya, aktif dan selalu meningkatkan kapasitas","Punya, aktif dan selalu meningkatkan kapasitas","BPBD/BNPB, SAR, LSM/NGO Kebencanaan",Tidak,Kotak P3K,Tidak,"Dana kebencanaan rutin , Tenaga/Pelayan Pastoral",Pendataan penyintas COVID-19,Tidak,Ya,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),Gempa Bumi,Tidak,Tim Dari kantor Pusat HKBP,Bantuan usaha,Ibadah minggu,Broadcast message WhatsApp Group,Sangat siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Simulasi menghadapi bencana, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit",Simulasi masalah tanggap bencana ,24 April 2021,Red,Green,Green,Green,Orange,Green,Green,Green,Green,Red,Green,Orange,Orange
GPDI pedati kota palu,Jl. Pattimura no 76 kota palu,Sulawesi Tengah,-0.90326,119.8697,350,Gempa bumi,Terorisme,Konflik sosial,"Punya, tetapi tidak aktif/tidak berfungsi",Tidak punya,Tidak punya,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Ada dinding yang roboh,Terdampak dan berhamburan ketika gempa,Tidak,Tidak punya,Tidak punya,Tidak punya,Tidak punya,"BPBD/BNPB, SAR, PMI",Tidak,"Alat pengeras suara, Safety Box berisi dokumen penting, Genset",Tidak,"Dana insidental kebencanaan , Tenaga kesehatan , Livelihood , Tenaga/Pelayan Pastoral",Tidak ada,Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Tidak,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Interaksi dan konflik sosial, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme",Tidak ada,24 April 2021,Red,Red,Green,Green,Orange,Green,Green,Green,Green,Red,Green,Orange,Orange
GPdi Jemaat Kota Palu,Jalan Gajah Mada no 4,Sulawesi Tengah,-0.89793,119.8649,1200,Covid19,Gempa bumi,Terorisme (sebenarnya tidak ada),Punya dan berfungsi,Punya dan berfungsi,Tidak punya,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",,Terdampak tetapi masih ada pada tempatnya,Tidak,"Punya, sudah diperbarui",Tidak punya,Tidak punya,Tidak punya,"BPBD/BNPB, Kelurahan",2 hari (sosialisasi),"Kotak P3K, Alat pemadam kebakaran, Alat pengeras suara, Safety Box berisi dokumen penting, Genset",Tidak,"Dana insidental kebencanaan , Dana diakonia jika terjadi bencana akan digunakan kesitu","Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan golongan darah, Pendataan pekerjaan/kegiatan usaha jemaat",Tidak,Dana diakonia yang dialihkan,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),Tidak,Tidak,BNPB/BPBD,Tidak ada,Ibadah minggu,"Khotbah, Video, Broadcast message WhatsApp Group",Siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme, Dana",Pelatihan sangat dibutuhkan beserta perangkatnya dan dananya,24 April 2021,Red,Red,Green,Green,Orange,Green,Green,Green,Green,Red,Green,Orange,Orange
Gereja Kristen Bathani Jemaat Kadosh,Jl. Nusakambangan No 3 Kota Palu,Sulawesi tengah,-0.90122,119.8697,250,Gempa bumi,Terorisme,Kebakaran pemukiman,"Punya, tetapi tidak aktif/tidak berfungsi",Tidak punya,Tidak punya,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Retak ringan,Hanya speaker yang jatuh Karena disusun 2,Tidak,Tidak punya,Tidak punya,Tidak punya,Tidak punya,"BPBD/BNPB, SAR, PMI","Ya, > 2 tahun","Peluit, Lampu senter, Lampu darurat, Kotak P3K, Alat pemadam kebakaran, Safety Box berisi dokumen penting, Genset",Tidak,"Dana insidental kebencanaan , Dana kebencanaan rutin , Tenaga kesehatan , Livelihood , Tenaga/Pelayan Pastoral","Pendataan golongan darah, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat",Tidak,Ya,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),Tidak,Tidak,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Terorisme",Tidak ada ,24 April 2021,Red,Green,Green,Green,Orange,Green,Green,Green,Green,Red,Green,Orange,Orange
Gpdi Bethesda Keluarga ilahi,Jl. Moh. Hatta No.9-11,Sulawesi tengah,-0.89636,119.873,300,Gempa bumi,Terorisme,Konflik sosial,Tidak punya,Tidak punya,Tidak punya,Ya,,"Hanya pintu yang terbuka diluar, jendela permanent",Ya,Pernah mempunyai (tidak dapat diakses lagi),"Ya, sudah teruji",Plafon rubuh,Terdampak dan berpotensi membahayakan pengguna/jemaat,Tidak,Tidak punya,Tidak punya,Tidak punya,Tidak punya,"BPBD/BNPB, SAR, PMI",Tidak,Tidak ada,Tidak,Dana insidental kebencanaan ,Tidak ada,Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Tidak,Tidak ada,Tidak ada,Tidak ada,Broadcast message WhatsApp Group,Sedikit siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme",Tidak ada,25 April 2021,Red,Green,Green,Green,Orange,Green,Green,Green,Green,Red,Green,Orange,Orange
GPID DIASPORA MAMBORO,Jl KARANA BELAKANG ASPOL BRIMOB MAMBORO KEL. Palu Utara Kota palu,SULAWESI TENGAH,-0.78612,119.8748,287,Gempa bumi,Angin topan/ angin kencang,- ,Punya dan berfungsi,Tidak punya,Tidak punya,Ya,,Ya,Ya,Pernah mempunyai (tidak dapat diakses lagi),"Ya, sudah teruji",,Tidak terdampak,Tidak,Punya tapi tidak dipasang,"Punya, tetapi tidak diperbarui","Punya, aktif dan selalu meningkatkan kapasitas",Tidak punya,"BPBD/BNPB, SAR, LSM/NGO Kebencanaan, PMI",Belum pernah,"Genset, Tenda darurat, tempat tidur lapangan, perlengkapan dapur umum ",Tidak,"Tenaga kesehatan, Tenaga/Pelayan Pastoral","Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan penyintas COVID-19, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat",Secara tertulis belum ada,Ada tapi sedikit,Alokasi anggaran khusus bencana (diambilkan dari persembahan bulan khusus bencana),Tidak,Tidak,Belum pernah ada pelatihan,,"Ibadah minggu, Pelka dan kolom","Khotbah, Broadcast message WhatsApp Group, Warta jemaat",Siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit",Semua kegiatan bisa terlaksana apabila didukung sarana dan prasarana terutama dana yang besar untuk memfasilitasi. ,25 April 2021,Red,Green,Green,Green,Orange,Green,Green,Green,Green,Red,Green,Orange,Orange
Gereja Bethel Tabernakel Kristus Jemaat Alfa Omega Palu,Jln. Towua Lrg. Sintuwu II Palu,Sulawesi Tengah,-0.92778,119.8796,139,Kebakaran Pemukiman,Gempa Bumi,Wabah Penyakit Covid19,"Punya, tetapi tidak aktif/tidak berfungsi",Tidak punya,Tidak punya,Ya,Tidak,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Tidak ada,Terdampak tetapi masih ada pada tempatnya,Tidak,Tidak punya,Tidak punya,"Punya, aktif dan selalu meningkatkan kapasitas",Tidak punya,"BPBD/BNPB, SAR, LSM/NGO Kebencanaan, PMI, Kelompok masyarakat peduli bencana, Universitas/lembaga pendidikan","Ya, > 2 tahun",Belum ada sama sekali,Tidak,"Dana insidental kebencanaan, Tenaga kesehatan , Tenaga/Pelayan Pastoral","Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak)",Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Ya,TNI/POLRI,Tidak ada,Tidak ada,"Khotbah, Video, Broadcast message WhatsApp Group",Sedikit siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme",Ada baiknya gereja membentuk satu tim terpadu untuk menghadapi kemungkinan terjadinya bencana di wilayah gereja,25 April 2021,Red,Yellow,Green,Green,Orange,Green,Green,Green,Green,Red,Green,Orange,Orange
GBI Woodward Palu,Jalan Woodward no 12,Sulawesi Tengah ,-0.90467,119.8734,800,Gempa ,Covid19,Terorisme,Tidak punya,Punya dan berfungsi,Tidak punya,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",,Tidak terdampak,Tidak,"Punya, tetapi tidak diperbarui",Tidak punya,"Punya, aktif dan selalu meningkatkan kapasitas",Tidak punya,"BPBD/BNPB, SAR, PMI","Ya, > 2 tahun","Lampu senter, Kotak P3K, Alat pengeras suara, Safety Box berisi dokumen penting, Genset",Tidak,"Dana insidental kebencanaan , Tim penanganan bencana yang terlatih, Tenaga kesehatan , Tenaga/Pelayan Pastoral","Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan golongan darah",Tidak,Tidak,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),Tidak,Tidak,TNI/POLRI,Tidak ada,Ibadah minggu,"Khotbah, Video, Poster, Siaran radio, Broadcast message WhatsApp Group",Siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme",Tidak ada ,25 April 2021,Red,Green,Green,Green,Orange,Green,Green,Green,Green,Red,Green,Orange,Orange
Gereja Toraja Jemaat Sion Anutapura Palu,Jln. Purnawirawan No. 2,Sulawesi Tengah,-0.91595,119.8787,2853,Gempa Bumi,Angin Kencang,Terorisme,"Punya, tetapi tidak aktif/tidak berfungsi","Punya, tetapi tidak aktif/tidak berfungsi",Tidak punya,Ya,,Ya,Ya,Pernah mempunyai (tidak dapat diakses lagi),Tidak,Retak ringan,Tidak terdampak,Ya,"Punya, tetapi tidak diperbarui","Punya, sudah diperbarui",Tidak punya,Tidak punya,"BPBD/BNPB, PMI",Tidak,"Kotak P3K, Alat pemadam kebakaran, Safety Box berisi dokumen penting, Genset",Tidak,"Dana insidental kebencanaan, Dana kebencanaan rutin , Tenaga kesehatan , Tenaga/Pelayan Pastoral","Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan golongan darah, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat",Tidak,Ya,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),Bencana gempa,Tidak,BNPB/BPBD,"Bantuan modal, Bantuan usaha, Keterampilan","Ibadah minggu, Sekolah Minggu","Khotbah, Video, Poster, Broadcast message WhatsApp Group, Baliho, warta jemaat",Siap,"Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Simulasi menghadapi bencana, Epidemi dan wabah penyakit, Terorisme",Tidak Ada,26 April 2021,Red,Yellow,Green,Green,Orange,Green,Green,Green,Green,Red,Green,Orange,Orange
