name,address,province,Longitude,Latitude,congregation,risk_1,risk_2,risk_3,preparedness,emergencyResPlan,warningSystem,permanentBuilding,nonPermanentBuilding,doorWindow,buildingCode,constructionDoc,earthquakeResistant,buildingEarthquakeImpact,facilityEarthquakeImpact,faciltyEndanger,evacuationPath,evacuationPathVulnerable,evacuationOfficer,emergencyCommission,competent,evacuationSimulation,preparednessTools,facingDisasterProg,handlingSkill,dataRoutine,disasterResponseSOP,specialBudget,raiseFunds,emergencyResponse,interactionGuide,provideTraining,economicDev,churchEducation,riskReduction,disasterOccurs,trainingNeeds,increaseCapacity,lastUpdate,Gempa,Banjir,Kekeringan,Tsunami,Cuaca Ekstrim,Gelombang Ekstrim dan Abrasi,Kebakaran Hutan dan Lahan,Letusan Gunung Berapi,Tanah Longsor,Multi Bahaya,Likuefaksi,Terorisme,Konflik
Gereja Toraja Jemaat Elim Palu,"Jl. Pramuka, Besusu Bar., Kec. Palu Tim., Kota Palu, Sulawesi Tengah 94111",Sulawesi Tengah,-0.89411,119.8678,2560,Banjir,Gempa,Angin Kencang,Punya dan berfungsi,Tidak punya,Tidak punya,Ya,,Ya,Ya,Pernah mempunyai (tidak dapat diakses lagi),"Ya, sudah teruji",Tehel retak,Tidak terdampak,Tidak,"Punya, tetapi tidak diperbarui",Tidak punya,Tidak punya,Tidak punya,"BPBD/BNPB, SAR",Tidak,"Kotak P3K, Alat pemadam kebakaran, Safety Box berisi dokumen penting, Genset",Baru memikirkan,"Dana insidental kebencanaan, Dana kebencanaan rutin , Tenaga kesehatan , Tenaga/Pelayan Pastoral","Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat",Tidak,Ya,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),Covid,Ya,TNI/POLRI,Bantuan usaha,"Ibadah minggu, Pendalaman Alkitab, Ibadah kelompok (rumah tangga)","Khotbah, Video, Poster, Broadcast message WhatsApp Group",Siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Simulasi menghadapi bencana, Interaksi dan konflik sosial, Epidemi dan wabah penyakit",Tidak Ada,26 April 2021,Red,Yellow,Green,Green,Orange,Green,Green,Green,Green,Red,Green,Orange,Orange
GBI Rock Palu ,Jalan Towua No 75B ,Sulawesi Tengah ,-0.93048,119.8856,400,Gempa Bumi ,Terorisme ,Covid19,Punya dan berfungsi,"Punya, tetapi tidak aktif/tidak berfungsi",Tidak punya,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Retak ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,Tidak punya,Tidak punya,Tidak punya,"Punya, tetapi tidak tahu apa yang dilakukan","BPBD/BNPB, LSM/NGO Kebencanaan, TAGANA","Ya, 1-2 tahun","Kotak P3K, Genset",Tidak,Dana insidental kebencanaan,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak)",Tidak,Ya,Insidental (penggalangan dana/persembahan bencana),Gempa bumi ,Tidak,FKUB (Forum Kerukunan Umat Beragama),,Tidak ada,Broadcast message WhatsApp Group,Sedikit siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Simulasi menghadapi bencana, Keterampilan psikososial dalam penanganan korban bencana","Tidak ada 
",26 April 2021,Red,Green,Green,Green,Orange,Green,Green,Green,Green,Red,Orange,Orange,Orange
Gereja Bala Keselamatan Korps Woodward ,Jalan Woodward No. 111,Sulawesi Tengah ,-0.90482,119.8724,500,Gempa Bumi ,Angin kencang ,Konfik Sosial ,Punya dan berfungsi,Punya dan berfungsi,Tidak punya,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",,Terdampak dan berpotensi membahayakan pengguna/jemaat,Tidak,"Punya, sudah diperbarui",Tidak punya,"Punya, aktif dan selalu meningkatkan kapasitas","Punya, aktif dan selalu meningkatkan kapasitas","BPBD/BNPB, SAR, LSM/NGO Kebencanaan","Ya, 1-2 tahun","Alat pengeras suara, Safety Box berisi dokumen penting, Genset",Gereja tidak ada tapi BK ada,"Dana insidental kebencanaan , Dana kebencanaan rutin , Tim penanganan bencana yang terlatih, Tenaga kesehatan , Livelihood , Tenaga/Pelayan Pastoral","Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak)",Covid19,Ya,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),"Covid19,  gempa bumi, banjir ",Tidak,"BNPT (Badan Nasional Penanganan Terorisme), LSM/NGO, Salvation Army Pusat",,"Ibadah minggu, Sekolah Minggu","Khotbah, Video, Poster, Siaran radio, Broadcast message WhatsApp Group, Sosial Media",Siap,"Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme",Edukasi bahaya bencana sesuai dengan keadaan dan situasi saat ini ,26 April 2021,Red,Yellow,Green,Green,Orange,Green,Green,Green,Green,Red,Green,Orange,Orange
GPdI jemaat Torsina Palu,"Jl. Zebra VI, Birobuli Utara, Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94235",Sulawesi Tengah,-0.92665,119.8878,150,Gempa Bumi,Angin Kencang,Covid 19,Punya dan berfungsi,Punya dan berfungsi,Tidak punya,Ya,Tidak,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Tidak ada,Terdampak tetapi masih ada pada tempatnya,Tidak,"Punya, tetapi tidak diperbarui",Tidak punya,Tidak punya,Tidak punya,"BPBD/BNPB, PMI",Tidak,"Alat pengeras suara, Genset",Tidak,Tenaga/Pelayan Pastoral,Hanya secara umum (jumlah jenis kelamin),Tidak,Ya,Alokasi anggaran khusus bencana (diambilkan dari persembahan bulan khusus bencana),Gempa Bumi dan Covid 19,Ya,Belum ada,Tidak ada,"Ibadah minggu, Sekolah Minggu, Ibadah Pemuda","Khotbah, Broadcast message WhatsApp Group, Baliho",Siap,"Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Epidemi dan wabah penyakit, Terorisme",Tidak ada,27 April 2021,Red,Green,Green,Green,Orange,Green,Green,Green,Green,Red,Green,Orange,Orange
GKST Jemaat Immanuel Palu,Jl. Masjid Raya. Ni. 15 Palu,Sulawesi Tengah,-0.89958,119.8749,2747,Gempa Bumi,Epidemi dan Wabah Penyakit,Terorisme,"Punya, tetapi tidak aktif/tidak berfungsi","Punya, tetapi tidak aktif/tidak berfungsi",Tidak punya,Ya,Tidak,Ya,Ya,Tidak punya,"Ya, sudah teruji",Retak ringan,Terdampak tetapi masih ada pada tempatnya,Ya,"Punya, tetapi tidak diperbarui",Tidak punya,"Punya, tetapi tidak tahu apa yang dilakukan",Tidak punya,"BPBD/BNPB, LSM/NGO Kebencanaan, Kelompok masyarakat peduli bencana","Ya, 1-2 tahun","Lampu senter, Lampu darurat, Kotak P3K, Alat pemadam kebakaran, Alat pengeras suara, Safety Box berisi dokumen penting, Genset",Ya,"Dana insidental kebencanaan, Tenaga/Pelayan Pastoral","Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan golongan darah, Pendataan pekerjaan/kegiatan usaha jemaat",Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Tidak,LSM/NGO,Belum,"Ibadah minggu, Warta Jemaat","Khotbah, Siaran radio, Broadcast message WhatsApp Group, Warta Jemaat",Sedikit siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Simulasi menghadapi bencana, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit",Pelatihan/Peningkatan kapasitas warga jemaat dalam pengurangan risiko bencana. ,27 April 2021,Red,Green,Green,Green,Orange,Green,Green,Green,Green,Red,Orange,Orange,Orange
GPID Eben Haezer ,Jalan Borak No.1,Sulawesi Tengah ,-0.91081,119.8994,711,Gempa bumi,Konfik antar kelompok,Covid19,Tidak punya,Tidak punya,Tidak punya,Ya,,Pintu kedalam jendela keluar ,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",,Terdampak dan berpotensi membahayakan pengguna/jemaat,Tidak,"Punya, sudah diperbarui","Punya, sudah diperbarui","Punya, aktif dan selalu meningkatkan kapasitas",Tidak punya,"BPBD/BNPB, LSM/NGO Kebencanaan","Ya, 1-2 tahun","Safety Box berisi dokumen penting, Genset",Tidak,"Dana insidental kebencanaan , Tenaga kesehatan, Tenaga/Pelayan Pastoral",Tidak ada,Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Tidak,LSM/NGO,Tidak ada,Ibadah minggu,"Khotbah, Broadcast message WhatsApp Group",Sedikit siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme",Pelatihan itu sangat dibutuhkan untuk menambah pemahaman jemaat dalam kesiapan menghadapi bencana ,27 April 2021,Red,Green,Green,Green,Orange,Green,Green,Green,Green,Red,Green,Orange,Orange
Gereja Kristen Tuhan Jemaat Trinity Palu,Jl. Sulawesi (Depan Kantor PLN Maesa) ,Sulawesi Tengah,-0.90099,119.8722,60,Gempa Bumi,Epidemi,Terorisme,Tidak punya,Tidak punya,Tidak punya,Ya,Tidak,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Tidak ada,Terdampak tetapi masih ada pada tempatnya,Tidak,"Punya, tetapi tidak diperbarui","Punya, tetapi tidak diperbarui",Tidak punya,Tidak punya,"BPBD/BNPB, SAR, PMI",Tidak,"Lampu senter, Genset",Tidak,Tidak,Tidak ada,Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Tidak,Belum pernah,Tidak ada,Tidak ada,Tidak ada,Tidak siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Disabilitas dan inklusi, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit",Pelatihan tanggap bencana dan pengajaran teologi bencana,27 April 2021,Red,Green,Green,Green,Orange,Green,Green,Green,Green,Red,Orange,Orange,Orange
Gereja Kristen Oikumene Yerusalem ,Asrama Korem Juanda ,Sulawesi Tengah ,-0.9058902,119.865273,70,Covid19,Gempa Bumi ,Tidak ada konflik ,Tidak punya,Tidak punya,Tidak punya,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",,Terdampak dan berpotensi membahayakan pengguna/jemaat,Tidak,Tidak punya,Tidak punya,Tidak punya,Tidak punya,Kelompok masyarakat peduli bencana,Tidak,"Alat pengeras suara, Safety Box berisi dokumen penting, Genset",Tidak,"Dana insidental kebencanaan , Tenaga kesehatan , Tenaga/Pelayan Pastoral","Pendataan pekerjaan/kegiatan usaha jemaat, Tidak ada",Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),Covid19,Tidak,Jemaat Sendiri yang merupakan tenaga Kesehatan,,Ibadah minggu,"Khotbah, Broadcast message WhatsApp Group",Siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Simulasi menghadapi bencana",Tidak ada ,27 April 2021,Red,Green,Green,Green,Orange,Green,Green,Green,Green,Red,Green,Orange,Orange
GKI Sulsel Jemaat Palu,jalan patimura No. 53,Sulawesi Tengah ,-0.90287,119.8699,554,Gempa Bumi ,Covid19,Terorisme ,Punya dan berfungsi,"Punya, tetapi tidak aktif/tidak berfungsi",Tidak punya,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",,Tidak terdampak,Tidak,Tidak punya,Tidak punya,Tidak punya,Tidak punya,"LSM/NGO Kebencanaan, PMI, Kelompok masyarakat peduli bencana",Tidak,"Peluit, Lampu senter, Rompi, Kotak P3K, Alat pemadam kebakaran, Genset",Tidak,"Tenaga kesehatan , Tenaga/Pelayan Pastoral","Pendataan golongan darah, Pendataan pekerjaan/kegiatan usaha jemaat",Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Tidak,Tidak pernah ,Bantuan modal,Ibadah minggu,"Video, Poster",Sedikit siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Simulasi menghadapi bencana, Keterampilan psikososial dalam penanganan korban bencana",Gereja perlu dibekali/diberikan pengetahuan untuk tanggap terhadap situasi yang dapat terjadi dilingkungannya ,27 April 2021,Red,Red,Green,Green,Orange,Green,Green,Green,Green,Red,Orange,Orange,Orange
GPdI Jemaat Shallom ,jalan nusakambangan No.7,Sulawesi Tengah ,-0.90115,119.872,100,Covid19,Gempa Bumi,Tidak ada,Tidak punya,Tidak punya,Tidak punya,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",,Terdampak tapi masih bisa digunakan,Tidak,"Punya, sudah diperbarui","Punya, sudah diperbarui",Tidak punya,Tidak punya,Kelompok masyarakat peduli bencana,Tidak,"Peluit, Lampu senter, Lampu darurat, Kotak P3K, Peralatan balut bidai, Alat pengeras suara, Genset",Tidak,"Dana insidental kebencanaan, Tenaga kesehatan , Tenaga/Pelayan Pastoral","Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak)",Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),Gempa bumi ,Tidak,LSM/NGO,Tidak ada,Ibadah minggu,"Khotbah, Broadcast message WhatsApp Group",Siap,"Simulasi menghadapi bencana, Keterampilan psikososial dalam penanganan korban bencana, Epidemi dan wabah penyakit",Selalu mensosialisasi terkait kebencanaan dari pemerintah ,27 April 2021,Red,Green,Green,Green,Orange,Green,Green,Green,Green,Red,Green,Orange,Orange
Gereja Masehi Adven Hari Ketujuh Jemaat Maesa ,Jl. Sulawesi No.25,Sulawesi Tengah ,-0.90016,119.8701,240,Gempa bumi ,Covid19,Tidak ada ,Punya dan berfungsi,"Punya, tetapi tidak aktif/tidak berfungsi",Tidak punya,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",,Terdampak tapi masih bisa digunakan,Tidak,"Punya, sudah diperbarui",Tidak punya,"Punya, aktif dan selalu meningkatkan kapasitas","Punya, aktif dan selalu meningkatkan kapasitas","BPBD/BNPB, LSM/NGO Kebencanaan, Kelompok masyarakat peduli bencana","Ya, 1-2 tahun","Kotak P3K, Genset",Tidak,"Dana insidental kebencanaan , Tim penanganan bencana yang terlatih, Tenaga kesehatan , Tenaga/Pelayan Pastoral","Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan golongan darah, Pendataan pekerjaan/kegiatan usaha jemaat",Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),Gempa bumi dan covid19,Tidak,"LSM/NGO, Rs Adven Bandung ",Keterampilan,Ibadah minggu,Broadcast message WhatsApp Group,Siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Interaksi dan konflik sosial, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme",Tidak ada ,27 April 2021,Red,Yellow,Green,Green,Orange,Green,Green,Green,Green,Red,Green,Orange,Orange
GPdI Vinear Palu ,Jalan Sulawesi No 43,Sulawesi Tengah ,-0.90011,119.8691,250,Gempa bumi ,Covid19,Tidak ada ,Tidak punya,Tidak punya,Tidak punya,Ya,,Ya,Tidak,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",,Tidak terdampak,Tidak,Tidak punya,Tidak punya,Spontanitas Jemaat ,Tidak punya,Tidak ada ,Tidak,"Lampu senter, Alat pengeras suara, Genset",Tidak,"Dana insidental kebencanaan , Tenaga kesehatan, Tenaga/Pelayan Pastoral",Tidak ada,Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Tidak,Belum ada ,Tidak ada,Ibadah minggu,Khotbah,Sedikit siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme",Tidak ada ,27 April 2021,Red,Red,Green,Green,Orange,Green,Green,Green,Green,Red,Green,Orange,Orange
GKST Jemaat Anugerah Masomba,Jl. Tanjung Manimbaya IV. No. 05,Sulawesi Tengah,-0.90905,119.8818,530,Gempa Bumi,Terorisme,Konflik Sosial antar kelompok,"Punya, tetapi tidak aktif/tidak berfungsi","Punya, tetapi tidak aktif/tidak berfungsi",Tidak punya,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Retak ringan,Terdampak dan berpotensi membahayakan pengguna/jemaat,Ya,Tidak punya,Tidak punya,Tidak punya,Tidak punya,"BPBD/BNPB, LSM/NGO Kebencanaan, PMI","Ya, 1-2 tahun","Kotak P3K, Safety Box berisi dokumen penting, Genset",Tidak,Tidak,"Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat",Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Tidak,LSM/NGO,Tidak ada,Tidak ada,Tidak ada,Sedikit siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme",Simulasi/tanggap darurat menghadapi bencana alam,28 April 2021,Red,Green,Green,Green,Orange,Green,Green,Green,Green,Red,Orange,Orange,Orange
BK korps 2 palu,Kancil bawah no. 67,Sulawesi tengah,-0.91691,119.8701,900,Gempa bimi,Covid 19,Terorisme,Punya dan berfungsi,Punya dan berfungsi,Punya dan berfungsi,Ya,,Tidak,Ya,Pernah mempunyai (tidak dapat diakses lagi),"Ya, sudah teruji",Retak ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,"Punya, sudah diperbarui",Tidak punya,"Punya, aktif dan selalu meningkatkan kapasitas","Punya, aktif dan selalu meningkatkan kapasitas",BPBD/BNPB,"Ya, > 2 tahun","Peluit, Alat pemadam kebakaran, Alat pengeras suara, Safety Box berisi dokumen penting, Genset",Ya,"Tim penanganan bencana yang terlatih, Livelihood , Tenaga/Pelayan Pastoral","Pendataan golongan darah, Pendataan penyintas COVID-19, Pendataan pekerjaan/kegiatan usaha jemaat",Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),Bencana gempa bumi,Ya,Team penanggulangan bencana bala keselamatan internasional,,"Ibadah minggu, Sekolah Minggu","Khotbah, Siaran radio, Broadcast message WhatsApp Group",Siap,"Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme","1. Simulasi penanggulangan bencana 
2. Epidemi dan wabah penyakit
3. Terorisme",28 April 2021,Red,Red,Green,Green,Orange,Green,Green,Green,Green,Red,Orange,Orange,Orange
Gkst efhata palu,Jl. Banteng no 9,Sulawesi tengah,-0.93095,119.8845,880,Gempa bumi,Covid 19,Terorisme,Punya dan berfungsi,Punya dan berfungsi,Tidak punya,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",,Tidak terdampak,Tidak,"Punya, sudah diperbarui",Tidak punya,"Punya, aktif dan selalu meningkatkan kapasitas","Punya, aktif dan selalu meningkatkan kapasitas","BPBD/BNPB, SAR, Kelompok masyarakat peduli bencana","Ya, 1-2 tahun","Kotak P3K, Alat pemadam kebakaran, Alat pengeras suara, Safety Box berisi dokumen penting, Genset",Ya,"Dana insidental kebencanaan , Tim penanganan bencana yang terlatih, Tenaga kesehatan , Tenaga/Pelayan Pastoral","Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan golongan darah",Sop mengacu pada rapat jemaat (belum paten),Ya,Insidental (penggalangan dana/persembahan bencana),Bencana gempa bumi dan covid 19,Ya,"TNI/POLRI, BNPB/BPBD, PMI/SAR/ Damkar (Pemadam Kebakaran)",,"Ibadah minggu, Sekolah Minggu","Khotbah, Video, Broadcast message WhatsApp Group",Siap,"Manajemen Barak, Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Epidemi dan wabah penyakit, Terorisme","Manajemen barak, simulasi menghadapi bencana, Perubahan iklim dan dampaknya, epidemi dan wabah penyakit, terorisme",28 April 2021,Red,Green,Green,Green,Orange,Green,Green,Green,Green,Red,Green,Orange,Orange
